Sensor,0,4,wrist,Orientation
Sensor,1,4,palm,Orientation
Sensor,2,4,thumb,Orientation
Sensor,3,4,index,Orientation
Sensor,4,4,mid,Orientation
Sensor,5,4,ring,Orientation
Sensor,6,4,pinky,Orientation
16,133,0.6004638671875,-0.478271484375,-0.3955078125,0.5042549966905944
17,133,0.09326171875,-0.30731201171875,-0.29742431640625,0.8991108692922389
18,133,0.10272216796875,-0.154052734375,-0.13287353515625,0.9736840015602939
19,133,0.09796142578125,-0.31341552734375,-0.096923828125,0.9395637486729356
20,139,0.79638671875,-0.2261962890625,-0.3436279296875,0.44330946183410624
21,139,0.7965087890625,-0.31524658203125,-0.29150390625,0.42569803159610153
22,139,0.09320068359375,-0.3212890625,-0.29595947265625,0.8947038400725478
16,143,0.59686279296875,-0.48126220703125,-0.3885498046875,0.5110484749319373
17,143,0.09320068359375,-0.3212890625,-0.29595947265625,0.8947038400725478
18,143,0.1082763671875,-0.177001953125,-0.13568115234375,0.9687812765517742
19,143,0.08544921875,-0.30657958984375,-0.1168212890625,0.940776366905562
20,150,0.79931640625,-0.2354736328125,-0.3504638671875,0.42757517321010496
21,150,0.79742431640625,-0.32818603515625,-0.30023193359375,0.4077611702737322
22,150,0.097412109375,-0.33392333984375,-0.2939453125,0.8902821110827657
16,154,0.59686279296875,-0.48126220703125,-0.3885498046875,0.5110484749319373
17,154,0.097412109375,-0.33392333984375,-0.2939453125,0.8902821110827657
18,154,0.11602783203125,-0.20001220703125,-0.14373779296875,0.9622224826437434
19,154,0.06719970703125,-0.29913330078125,-0.136962890625,0.9419366402950214
20,155,0.80401611328125,-0.2347412109375,-0.36279296875,0.4084555242584801
21,155,0.80084228515625,-0.33660888671875,-0.3101806640625,0.38617877638397713
22,155,0.107177734375,-0.345458984375,-0.29071044921875,0.8858094931100411
16,165,0.5888671875,-0.48797607421875,-0.37310791015625,0.5252668596577672
17,165,0.107177734375,-0.345458984375,-0.29071044921875,0.8858094931100411
18,165,0.125,-0.21978759765625,-0.15386962890625,0.9551924147608938
19,165,0.04583740234375,-0.29046630859375,-0.15533447265625,0.9430797727249283
20,168,0.80902099609375,-0.24078369140625,-0.3726806640625,0.3855092274721713
21,168,0.802490234375,-0.34649658203125,-0.320556640625,0.3649561378092351
22,168,0.1212158203125,-0.35516357421875,-0.2877197265625,0.8811259384451977
16,172,0.5845947265625,-0.4915771484375,-0.364501953125,0.5326717929245289
17,172,0.1212158203125,-0.35516357421875,-0.2877197265625,0.8811259384451977
18,172,0.1324462890625,-0.23565673828125,-0.156494140625,0.9499649815473504
19,172,0.02386474609375,-0.28094482421875,-0.17108154296875,0.944050626446489
20,179,0.81219482421875,-0.255615234375,-0.37701416015625,0.36450067559521077
21,179,0.8011474609375,-0.35833740234375,-0.32965087890625,0.34797607669388314
22,179,0.137939453125,-0.3646240234375,-0.283935546875,0.8760152019369413
16,183,0.580322265625,-0.4949951171875,-0.35552978515625,0.5401892944581101
17,183,0.137939453125,-0.3646240234375,-0.283935546875,0.8760152019369413
18,183,0.13653564453125,-0.245849609375,-0.15277099609375,0.9474054095766603
19,183,0.0023193359375,-0.2724609375,-0.184326171875,0.9443429041292882
20,190,0.81353759765625,-0.27166748046875,-0.37799072265625,0.34853460494083616
21,190,0.7989501953125,-0.37054443359375,-0.33544921875,0.3344386786584646
22,190,0.15582275390625,-0.37628173828125,-0.27642822265625,0.8704704248394771
16,194,0.57623291015625,-0.49810791015625,-0.34625244140625,0.5476800068587895
17,194,0.15582275390625,-0.37628173828125,-0.27642822265625,0.8704704248394771
18,194,0.13555908203125,-0.24908447265625,-0.14520263671875,0.9478907400382839
19,194,-0.01837158203125,-0.26611328125,-0.195556640625,0.943718075922832
20,200,0.814208984375,-0.28680419921875,-0.377197265625,0.335453877423627
21,200,0.797119140625,-0.38043212890625,-0.33843994140625,0.32454718764157225
22,200,0.17352294921875,-0.38983154296875,-0.26544189453125,0.8645587052529697
16,205,0.57623291015625,-0.49810791015625,-0.34625244140625,0.5476800068587895
17,205,0.17352294921875,-0.38983154296875,-0.26544189453125,0.8645587052529697
18,205,0.12744140625,-0.2449951171875,-0.13653564453125,0.9513643352048371
19,205,-0.037109375,-0.26220703125,-0.205322265625,0.9421852972153555
20,206,0.81463623046875,-0.29815673828125,-0.37640380859375,0.32525458382822436
21,206,0.79638671875,-0.38580322265625,-0.338623046875,0.31977882936766144
22,206,0.18829345703125,-0.40399169921875,-0.253173828125,0.858626399404363
16,215,0.567138671875,-0.5040283203125,-0.32757568359375,0.5630305060162445
17,215,0.18829345703125,-0.40399169921875,-0.253173828125,0.858626399404363
18,215,0.11138916015625,-0.2354736328125,-0.1287841796875,0.9568486078330192
19,215,-0.05242919921875,-0.26068115234375,-0.21484375,0.93975458443572
20,219,0.81463623046875,-0.30413818359375,-0.37738037109375,0.31851504328854485
21,219,0.79656982421875,-0.3873291015625,-0.3365478515625,0.3196689316082527
22,219,0.197021484375,-0.419189453125,-0.243896484375,0.8520429813060785
16,223,0.5621337890625,-0.5068359375,-0.3187255859375,0.5705584426871012
17,223,0.197021484375,-0.419189453125,-0.243896484375,0.8520429813060785
18,223,0.0921630859375,-0.22357177734375,-0.1251220703125,0.9622193582996278
19,223,-0.05242919921875,-0.26068115234375,-0.21484375,0.93975458443572
20,229,0.81396484375,-0.30535888671875,-0.3802490234375,0.3156388182967223
21,229,0.7962646484375,-0.38775634765625,-0.3350830078125,0.3214451778706876
22,229,0.198486328125,-0.43304443359375,-0.24029541015625,0.8457740903685586
16,233,0.55743408203125,-0.509033203125,-0.310302734375,0.5778102243346671
17,233,0.198486328125,-0.43304443359375,-0.24029541015625,0.8457740903685586
18,233,0.07550048828125,-0.21551513671875,-0.1231689453125,0.9657547892840075
19,233,-0.062255859375,-0.26531982421875,-0.23046875,0.9341379738151369
20,240,0.8128662109375,-0.3048095703125,-0.38299560546875,0.3156802419437214
21,240,0.79364013671875,-0.3907470703125,-0.3365478515625,0.32278104659336404
22,240,0.193603515625,-0.443115234375,-0.24176025390625,0.8412600949965562
16,244,0.55328369140625,-0.51080322265625,-0.30224609375,0.584469437490729
17,244,0.193603515625,-0.443115234375,-0.24176025390625,0.8412600949965562
18,244,0.06268310546875,-0.2196044921875,-0.1195068359375,0.9662105419959313
19,244,-0.0548095703125,-0.27349853515625,-0.23309326171875,0.9315911085937107
20,250,0.81109619140625,-0.307861328125,-0.38385009765625,0.3162332579926948
21,250,0.78753662109375,-0.39794921875,-0.34088134765625,0.32438001873198463
22,250,0.1865234375,-0.44879150390625,-0.24517822265625,0.8388580526047731
16,254,0.54986572265625,-0.511962890625,-0.2945556640625,0.590574844062388
17,254,0.1865234375,-0.44879150390625,-0.24517822265625,0.8388580526047731
18,254,0.0518798828125,-0.24078369140625,-0.11474609375,0.9623746805071595
19,254,-0.0440673828125,-0.28692626953125,-0.2283935546875,0.9292834690244657
20,256,0.8077392578125,-0.31695556640625,-0.3829345703125,0.3169504301498673
21,256,0.7794189453125,-0.4058837890625,-0.345947265625,0.32876275164745145
22,256,0.17742919921875,-0.45416259765625,-0.2481689453125,0.8370587725704819
16,265,0.54693603515625,-0.5126953125,-0.2872314453125,0.5962403767037091
17,265,0.17742919921875,-0.45416259765625,-0.2481689453125,0.8370587725704819
18,265,0.04931640625,-0.26324462890625,-0.1116943359375,0.9569715422864342
19,265,-0.04193115234375,-0.30670166015625,-0.20916748046875,0.9275908770761389
20,269,0.803955078125,-0.3282470703125,-0.3802490234375,0.31830924171803965
21,269,0.77227783203125,-0.4097900390625,-0.35009765625,0.3362896149549135
22,269,0.17120361328125,-0.45916748046875,-0.248291015625,0.8355872900178235
16,273,0.54400634765625,-0.51324462890625,-0.2801513671875,0.6017908740347991
17,273,0.17120361328125,-0.45916748046875,-0.248291015625,0.8355872900178235
18,273,0.05743408203125,-0.278564453125,-0.11480712890625,0.9517996085462007
19,273,-0.04119873046875,-0.3197021484375,-0.1942138671875,0.9264848485994178
20,279,0.80120849609375,-0.33587646484375,-0.37689208984375,0.3212542587491522
21,279,0.7669677734375,-0.41058349609375,-0.35296630859375,0.3443782981569235
22,279,0.16510009765625,-0.46258544921875,-0.2493896484375,0.8346025779837996
16,283,0.54095458984375,-0.513671875,-0.27337646484375,0.6072681821324896
17,283,0.16510009765625,-0.46258544921875,-0.2493896484375,0.8346025779837996
18,283,0.07025146484375,-0.2950439453125,-0.123779296875,0.9448240511793042
19,283,-0.03485107421875,-0.3297119140625,-0.1868896484375,0.9247419724755385
20,290,0.7979736328125,-0.3392333984375,-0.375244140625,0.32764404106769746
21,290,0.76263427734375,-0.41094970703125,-0.35400390625,0.3524067701833312
22,290,0.157470703125,-0.46484375,-0.25177001953125,0.8341073809819031
16,294,0.53778076171875,-0.5140380859375,-0.266845703125,0.6126581993694663
17,294,0.157470703125,-0.46484375,-0.25177001953125,0.8341073809819031
18,294,0.0863037109375,-0.30889892578125,-0.13067626953125,0.9381134450113175
19,294,-0.02825927734375,-0.3433837890625,-0.181640625,0.9210296792192415
20,300,0.794677734375,-0.3408203125,-0.37127685546875,0.3383523454466604
21,300,0.7578125,-0.414306640625,-0.351318359375,0.3614493501776362
22,300,0.1502685546875,-0.465576171875,-0.2529296875,0.8346764420034284
16,304,0.53466796875,-0.51422119140625,-0.26043701171875,0.6179638277670413
17,304,0.1502685546875,-0.465576171875,-0.2529296875,0.8346764420034284
18,304,0.10186767578125,-0.321044921875,-0.133056640625,0.9321207352885091
19,304,-0.02545166015625,-0.36187744140625,-0.173095703125,0.9156608585913338
20,306,0.79315185546875,-0.34197998046875,-0.3638916015625,0.34862978851118165
21,306,0.752685546875,-0.4190673828125,-0.34600830078125,0.37165205768115395
22,306,0.1417236328125,-0.46466064453125,-0.25433349609375,0.8362531734414892
16,315,0.53167724609375,-0.5142822265625,-0.25408935546875,0.6231145134448071
17,315,0.1417236328125,-0.46466064453125,-0.25433349609375,0.8362531734414892
18,315,0.11590576171875,-0.32867431640625,-0.1351318359375,0.927511959519359
19,315,-0.02520751953125,-0.3826904296875,-0.1595458984375,0.909647031697707
20,319,0.791748046875,-0.34307861328125,-0.35601806640625,0.35872445103587836
21,319,0.7467041015625,-0.42279052734375,-0.34173583984375,0.38327244939392696
22,319,0.1326904296875,-0.4615478515625,-0.25738525390625,0.8385223083848171
16,323,0.52862548828125,-0.51416015625,-0.247802734375,0.6283217580990322
17,323,0.1326904296875,-0.4615478515625,-0.25738525390625,0.8385223083848171
18,323,0.123046875,-0.32879638671875,-0.13934326171875,0.9259243263069659
19,323,-0.0203857421875,-0.401611328125,-0.14129638671875,0.904614886975316
20,329,0.789306640625,-0.34405517578125,-0.348388671875,0.3704678074982816
21,329,0.74005126953125,-0.425048828125,-0.33917236328125,0.3957520943228995
22,329,0.123046875,-0.45684814453125,-0.2630615234375,0.840801923331429
16,333,0.5252685546875,-0.5137939453125,-0.24163818359375,0.6338136283216335
17,333,0.123046875,-0.45684814453125,-0.2630615234375,0.840801923331429
18,333,0.11181640625,-0.31982421875,-0.14501953125,0.9296122288085056
19,333,-0.01019287109375,-0.413818359375,-0.1240234375,0.9018140926896924
20,340,0.785400390625,-0.34490966796875,-0.34246826171875,0.3832741017380666
21,340,0.732666015625,-0.42584228515625,-0.3385009765625,0.4089938221872357
22,340,0.1109619140625,-0.4520263671875,-0.271484375,0.8424107377792125
16,344,0.52142333984375,-0.51324462890625,-0.23565673828125,0.6396589351112961
17,344,0.1109619140625,-0.4520263671875,-0.271484375,0.8424107377792125
18,344,0.09503173828125,-0.3065185546875,-0.150390625,0.9350925110723748
19,344,-0.00018310546875,-0.418212890625,-0.11083984375,0.9015611313854123
20,350,0.7799072265625,-0.34588623046875,-0.33868408203125,0.39673735153922374
21,350,0.72430419921875,-0.426025390625,-0.33953857421875,0.4226101633354312
22,350,0.09490966796875,-0.4466552734375,-0.2818603515625,0.8438281601449419
16,355,0.51739501953125,-0.512451171875,-0.2305908203125,0.6453867552063685
17,355,0.09490966796875,-0.4466552734375,-0.2818603515625,0.8438281601449419
18,355,0.07952880859375,-0.2919921875,-0.152099609375,0.9408939578244702
19,355,-0.00018310546875,-0.41351318359375,-0.103515625,0.9045945660059032
20,356,0.7728271484375,-0.34765625,-0.3363037109375,0.4108200877313161
21,356,0.7149658203125,-0.4266357421875,-0.34124755859375,0.4362979750432039
22,356,0.07501220703125,-0.438720703125,-0.29388427734375,0.8458896765985198
16,365,0.51348876953125,-0.51177978515625,-0.22601318359375,0.6506372075992298
17,365,0.07501220703125,-0.438720703125,-0.29388427734375,0.8458896765985198
18,365,0.0653076171875,-0.27862548828125,-0.1500244140625,0.9463590373650634
19,365,-0.0108642578125,-0.398681640625,-0.1072998046875,0.9107259023684163
20,369,0.76513671875,-0.35028076171875,-0.33392333984375,0.42469329250390936
21,369,0.70538330078125,-0.428466796875,-0.3424072265625,0.44900767716421386
22,369,0.05157470703125,-0.42730712890625,-0.3079833984375,0.8484662005450931
16,373,0.50994873046875,-0.5108642578125,-0.2218017578125,0.6555714931373074
17,373,0.05157470703125,-0.42730712890625,-0.3079833984375,0.8484662005450931
18,373,0.05181884765625,-0.2686767578125,-0.14422607421875,0.9509608016918412
19,373,-0.0108642578125,-0.398681640625,-0.1072998046875,0.9107259023684163
20,380,0.7578125,-0.35345458984375,-0.3299560546875,0.43808568766531963
21,380,0.69659423828125,-0.4306640625,-0.3431396484375,0.4599349020617484
22,380,0.0255126953125,-0.41162109375,-0.324462890625,0.8512584861046699
16,384,0.50701904296875,-0.50970458984375,-0.21826171875,0.6599202552487409
17,384,0.0255126953125,-0.41162109375,-0.324462890625,0.8512584861046699
18,384,0.03985595703125,-0.266845703125,-0.1356201171875,0.9533163468790915
19,384,-0.01934814453125,-0.37432861328125,-0.11529541015625,0.9198971176055702
20,390,0.7515869140625,-0.35614013671875,-0.32464599609375,0.450429007556413
21,390,0.68988037109375,-0.43194580078125,-0.3427734375,0.4690354670080164
22,390,-0.0020751953125,-0.393310546875,-0.34075927734375,0.8539236629731423
16,394,0.50457763671875,-0.50848388671875,-0.21514892578125,0.6637442920326236
17,394,-0.0020751953125,-0.393310546875,-0.34075927734375,0.8539236629731423
18,394,0.0316162109375,-0.2696533203125,-0.12237548828125,0.9546264934089801
