Sensor,0,4,wrist,Orientation
Sensor,1,4,palm,Orientation
Sensor,2,4,thumb,Orientation
Sensor,3,4,index,Orientation
Sensor,4,4,mid,Orientation
Sensor,5,4,ring,Orientation
Sensor,6,4,pinky,Orientation
5,126,0.1937255859375,0.60296630859375,0.21630859375,0.7430419921875
6,126,0.24285888671875,0.5653076171875,0.26507568359375,0.742431640625
1,132,0.12762451171875,0.576904296875,0.2742919921875,0.75872802734375
2,132,0.1741943359375,0.52978515625,0.0743408203125,0.82672119140625
3,133,0.15655517578125,0.5858154296875,0.09295654296875,0.78973388671875
4,136,0.1851806640625,0.50732421875,0.15655517578125,0.826904296875
5,136,0.2021484375,0.60662841796875,0.2203369140625,0.73663330078125
6,136,0.25152587890625,0.5682373046875,0.26910400390625,0.73583984375
1,144,0.13653564453125,0.58013916015625,0.27838134765625,0.75323486328125
2,145,0.18194580078125,0.53515625,0.07867431640625,0.8211669921875
3,145,0.16412353515625,0.59100341796875,0.09722900390625,0.7838134765625
4,151,0.19970703125,0.517333984375,0.16534423828125,0.81561279296875
